"sample.id","Taxon","Genus","taxonomy_id","taxonomy_lvl","kraken_assigned_reads","added_reads","new_est_reads","fraction_total_reads","Family","Order","Rank"
"35","Mertensia ciliata","Mertensia",1288209,"S",918,3371,4289,0.01657,"Boraginaceae","Boraginales","species"
"35","Mertensia fusiformis","Mertensia",1463753,"S",1308,2218,3526,0.01362,"Boraginaceae","Boraginales","species"
"35","Trollius sp.","Trollius",212754,"G",2389,324,2713,0.01048,NA,NA,"genus"
"35","Dasiphora fruticosa","Dasiphora",32239,"S",2379,293,2672,0.01032,"Rosaceae","Rosales","species"
"35","Lupinus argenteus","Lupinus",53216,"S",661,1793,2454,0.00948,"Fabaceae","Fabales","species"
"35","Caltha leptosepala","Caltha",3449,"S",2345,7,2352,0.00908,NA,NA,"species"
"35","Arenaria lanuginosa","Arenaria",2887378,"S",1497,734,2231,0.00862,NA,NA,"species"
"35","Anemone sp.",NA,714493,"G",1181,1356,2537,0.0098,NA,NA,NA
"35","Aquilegia sp.","Aquilegia",46965,"G",981,705,1686,0.00651,NA,NA,"genus"
"35","Corydalis caseana","Corydalis",2894902,"S",1575,0,1575,0.00608,NA,NA,"species"
"35","Thalictrum fendleri","Thalictrum",79802,"S",1654,1275,2929,0.01131,"Ranunculaceae","Ranunculales","species"
"35","Thalictrum sp.","Thalictrum",79802,"G",1654,1275,2929,0.01131,NA,NA,"genus"
"35","Hydrophyllum sp.","Hydrophyllum",85212,"G",1389,15,1404,0.00542,NA,NA,"genus"
"35","Parnassia fimbriata","Parnassia",38862,"S",1112,47,1159,0.00448,NA,NA,"species"
"35","Potentilla anserina","Potentilla",57926,"S",697,360,1057,0.00408,"Rosaceae","Rosales","species"
"35","Geum triflorum","Geum",1640877,"S",961,22,983,0.0038,"Rosaceae","Rosales","species"
"35","Geum sp.","Geum",1640877,"G",961,22,983,0.0038,NA,NA,"genus"
"35","Hypericum scouleri","Hypericum",65561,"S",900,48,948,0.00366,NA,NA,"species"
"35","Viola sp.","Viola",97441,"G",774,19,793,0.00306,NA,NA,"genus"
"35","Agastache pallidiflora","Agastache",313656,"S",650,12,662,0.00256,"Lamiaceae","Lamiales","species"
"35","Cynoglossum officinale","Cynoglossum",256486,"S",503,106,609,0.00235,NA,NA,"species"
"35","Berberis repens","Berberis",1433329,"S",595,0,595,0.0023,NA,NA,"species"
"35","Collomia linearis","Collomia",66234,"S",577,14,591,0.00228,NA,NA,"species"
"35","Ribes sp.","Ribes",175228,"G",514,9,523,0.00202,NA,NA,"genus"
"35","Anemone multifida","Anemone",1164855,"S",507,0,507,0.00196,"Ranunculaceae","Ranunculales","species"
"36","Delphinium nuttallianum","Delphinium",136334,"S",46589,618,47207,0.53059,"Ranunculaceae","Ranunculales","species"
"36","Lupinus sericeus","Lupinus",61075,"S",10921,1286,12207,0.1372,"Fabaceae","Fabales","species"
"36","Lupinus argenteus","Lupinus",53216,"S",8039,1509,9548,0.10732,"Fabaceae","Fabales","species"
"36","Hydrophyllum fendleri","Hydrophyllum",86854,"S",6146,273,6419,0.07215,"Hydrophyllaceae","Boraginales","species"
"36","Mertensia ciliata","Mertensia",1288209,"S",1783,868,2651,0.0298,"Boraginaceae","Boraginales","species"
"36","Erigeron sp.","Erigeron",91271,"G",1565,276,1841,0.02069,NA,NA,"genus"
"36","Hydrophyllum sp.","Hydrophyllum",85212,"G",1321,2,1323,0.01487,NA,NA,"genus"
"36","Taraxacum officinale","Taraxacum",50225,"S",1136,10,1146,0.01288,"Asteraceae","Asterales","species"
"36","Delphinium sp.","Delphinium",984877,"G",1013,0,1013,0.01139,NA,NA,"genus"
"36","Helianthella quinquenervis","Helianthella",53582,"S",822,51,873,0.00981,"Asteraceae","Asterales","species"
"36","Agastache pallidiflora","Agastache",313656,"S",745,2,747,0.0084,"Lamiaceae","Lamiales","species"
"36","Epilobium sp.","Epilobium",33131,"G",696,0,696,0.00782,NA,NA,"genus"
"38","Hydrophyllum sp.","Hydrophyllum",85212,"G",115149,364,115513,0.62817,NA,NA,"genus"
"38","Hydrophyllum fendleri","Hydrophyllum",86854,"S",48272,3980,52252,0.28415,"Hydrophyllaceae","Boraginales","species"
"38","Hydrophyllum capitatum","Hydrophyllum",79360,"S",4648,511,5159,0.02806,"Hydrophyllaceae","Boraginales","species"
"38","Nemophila breviflora","Nemophila",79376,"S",2156,326,2482,0.0135,NA,NA,"species"
"38","Lupinus argenteus","Lupinus",53216,"S",907,1316,2223,0.01209,"Fabaceae","Fabales","species"
"38","Taraxacum officinale","Taraxacum",50225,"S",1238,275,1513,0.00823,"Asteraceae","Asterales","species"
"38","Mertensia fusiformis","Mertensia",1463753,"S",623,653,1276,0.00694,"Boraginaceae","Boraginales","species"
"38","Erigeron sp.","Erigeron",91271,"G",531,504,1035,0.00563,NA,NA,"genus"
"38","Epilobium sp.","Epilobium",33131,"G",619,7,626,0.0034,NA,NA,"genus"
"38","Cynoglossum officinale","Cynoglossum",256486,"S",506,97,603,0.00328,NA,NA,"species"
"39","Delphinium nuttallianum","Delphinium",136316,"S",115402,5022,120424,0.8974,"Ranunculaceae","Ranunculales","species"
"39","Delphinium sp.","Delphinium",984877,"G",13864,0,13864,0.10331,NA,NA,"genus"
"39","Caltha leptosepala","Caltha",3449,"S",1293,722,2015,0.01502,NA,NA,"species"
"39","Hydrophyllum sp.","Hydrophyllum",85212,"G",1955,9,1964,0.01464,NA,NA,"genus"
"39","Trollius sp.","Trollius",212754,"G",1427,383,1810,0.01349,NA,NA,"genus"
"39","Lupinus argenteus","Lupinus",53216,"S",612,1038,1650,0.0123,"Fabaceae","Fabales","species"
"39","Thalictrum fendleri","Thalictrum",79802,"S",737,544,1281,0.00955,"Ranunculaceae","Ranunculales","species"
"39","Thalictrum sp.","Thalictrum",79802,"G",737,544,1281,0.00955,NA,NA,"genus"
"39","Aquilegia sp.","Aquilegia",46965,"G",709,455,1164,0.00867,NA,NA,"genus"
"39","Lupinus sericeus","Lupinus",61075,"S",630,471,1101,0.0082,"Fabaceae","Fabales","species"
"39","Hydrophyllum fendleri","Hydrophyllum",86854,"S",602,295,897,0.00668,"Hydrophyllaceae","Boraginales","species"
"39","Dasiphora fruticosa","Dasiphora",32239,"S",586,106,692,0.00516,"Rosaceae","Rosales","species"
"39","Agastache pallidiflora","Agastache",313656,"S",565,46,611,0.00455,"Lamiaceae","Lamiales","species"
"39","Corydalis caseana","Corydalis",2894902,"S",578,0,578,0.00431,NA,NA,"species"
"4","Delphinium nuttallianum","Delphinium",136316,"S",174018,11119,185137,0.86358,"Ranunculaceae","Ranunculales","species"
"4","Delphinium sp.","Delphinium",984877,"G",24644,0,24644,0.11495,NA,NA,"genus"
"4","Caltha leptosepala","Caltha",3449,"S",2693,1507,4200,0.01959,NA,NA,"species"
"4","Lupinus argenteus","Lupinus",53216,"S",512,3620,4132,0.01927,"Fabaceae","Fabales","species"
"4","Trollius sp.","Trollius",212754,"G",2763,540,3303,0.01541,NA,NA,"genus"
"4","Arenaria lanuginosa","Arenaria",2887378,"S",1019,1598,2617,0.01221,NA,NA,"species"
"4","Thalictrum sp.","Thalictrum",79802,"G",1989,1487,3476,0.01622,NA,NA,"genus"
"4","Aquilegia elegantula","Aquilegia",46965,"S",1231,678,1909,0.0089,"Ranunculaceae","Ranunculales","species"
"4","Aquilegia sp.","Aquilegia",46965,"G",1231,678,1909,0.0089,NA,NA,"genus"
"4","Dasiphora fruticosa","Dasiphora",32239,"S",1132,264,1396,0.00651,"Rosaceae","Rosales","species"
"4","Corydalis caseana","Corydalis",2894902,"S",968,0,968,0.00452,NA,NA,"species"
"4","Geum sp.","Geum",1640877,"G",868,38,906,0.00423,NA,NA,"genus"
"4","Hypericum scouleri","Hypericum",65561,"S",744,51,795,0.00371,NA,NA,"species"
"4","Parnassia fimbriata","Parnassia",38862,"S",741,21,762,0.00355,NA,NA,"species"
"4","Anemone multifida","Anemone",1164855,"S",589,1,590,0.00275,"Ranunculaceae","Ranunculales","species"
"4","Anemone sp.","Anemone",1164855,"G",589,1,590,0.00275,NA,NA,"genus"
"4","Ribes sp.","Ribes",175228,"G",512,30,542,0.00253,NA,NA,"genus"
"40","Aquilegia sp.","Aquilegia",46965,"G",389921,5812,395733,0.45649,NA,NA,"genus"
"40","Hydrophyllum sp.","Hydrophyllum",85212,"G",102314,559,102873,0.11867,NA,NA,"genus"
"40","Lupinus sericeus","Lupinus",61075,"S",64834,30578,95412,0.11006,"Fabaceae","Fabales","species"
"40","Lupinus argenteus","Lupinus",53216,"S",48878,27404,76282,0.08799,"Fabaceae","Fabales","species"
"40","Vicia americana","Vicia",200966,"S",23035,287,23322,0.0269,"Fabaceae","Fabales","species"
"40","Hydrophyllum fendleri","Hydrophyllum",86854,"S",18729,2788,21517,0.02482,"Hydrophyllaceae","Boraginales","species"
"40","Taraxacum officinale","Taraxacum",50225,"S",9474,612,10086,0.01163,"Asteraceae","Asterales","species"
"40","Thalictrum sp.","Thalictrum",79802,"G",11491,2344,13835,0.01596,NA,NA,"genus"
"40","Delphinium nuttallianum","Delphinium",136316,"S",12413,888,13301,0.01534,"Ranunculaceae","Ranunculales","species"
"40","Hydrophyllum capitatum","Hydrophyllum",79360,"S",4207,90,4297,0.00496,"Hydrophyllaceae","Boraginales","species"
"40","Mertensia ciliata","Mertensia",1288209,"S",1863,2255,4118,0.00475,"Boraginaceae","Boraginales","species"
"40","Arenaria lanuginosa","Arenaria",2887378,"S",5299,844,6143,0.00709,NA,NA,"species"
"40","Potentilla sp.","Potentilla",667297,"G",3311,424,3735,0.00431,NA,NA,"genus"
"40","Pseudognaphalium macounii","Pseudognaphalium",1754165,"S",4381,152,4533,0.00523,NA,NA,"species"
"40","Pseudostellaria jamesiana","Pseudostellaria",418402,"S",1375,1303,2678,0.00309,NA,NA,"species"
"40","Erigeron sp.","Erigeron",91271,"G",1358,1283,2641,0.00305,NA,NA,"genus"
"40","Delphinium sp.","Delphinium",984877,"G",2616,0,2616,0.00302,NA,NA,"genus"
"40","Rosaceae",NA,1770156,"F",1761,835,2596,0.00299,NA,NA,NA
"40","Tonestus pygmaeus","Tonestus",217608,"S",2171,161,2332,0.00269,NA,NA,"species"
"40","Corydalis caseana","Corydalis",2894902,"S",2216,0,2216,0.00256,NA,NA,"species"
"40","Cerastium arvense","Cerastium",271558,"S",2164,11,2175,0.00251,"Caryophyllaceae","Caryophyllales","species"
"40","Senecio integerrimus","Senecio",2841766,"S",2282,1488,3770,0.00435,"Asteraceae","Asterales","species"
"40","Senecio sp.","Senecio",2841766,"G",2282,1488,3770,0.00435,NA,NA,"genus"
"40","Astragalus alpinus","Astragalus",47093,"S",2125,0,2125,0.00245,"Fabaceae","Fabales","species"
"40","Astragalus sp.","Astragalus",47093,"G",2125,0,2125,0.00245,NA,NA,"genus"
"40","Collomia linearis","Collomia",66234,"S",1854,28,1882,0.00217,NA,NA,"species"
"40","Hypericum scouleri","Hypericum",65561,"S",1832,2,1834,0.00212,NA,NA,"species"
"40","Nemophila breviflora","Nemophila",79376,"S",1705,27,1732,0.002,NA,NA,"species"
"40","Prosartes trachycarpa","Prosartes",232720,"S",1641,1,1642,0.00189,NA,NA,"species"
"40","Trollius sp.","Trollius",212754,"G",1587,26,1613,0.00186,NA,NA,"genus"
"40","Sorbus scopulina","Sorbus",1572685,"S",887,685,1572,0.00181,NA,NA,NA
"40","Mertensia fusiformis","Mertensia",1463753,"S",885,607,1492,0.00172,"Boraginaceae","Boraginales","species"
"40","Viola sp.","Viola",97441,"G",1403,67,1470,0.0017,NA,NA,"genus"
"40","Sagina saginoides","Sagina",230724,"S",1300,145,1445,0.00167,NA,NA,"species"
"40","Vaccinium sp.","Vaccinium",180772,"G",1248,158,1406,0.00162,NA,NA,"genus"
"40","Agastache pallidiflora","Agastache",313656,"S",1387,18,1405,0.00162,"Lamiaceae","Lamiales","species"
"40","Stellaria sp.","Stellaria",271541,"G",3541,101,3642,0.0042,NA,NA,"genus"
"40","Rubus sp.","Rubus",714495,"G",953,379,1332,0.00154,NA,NA,"genus"
"40","Potentilla anserina","Potentilla",57926,"S",1081,156,1237,0.00143,"Rosaceae","Rosales","species"
"40","Geum sp.","Geum",1640877,"G",1082,120,1202,0.00139,NA,NA,"genus"
"40","Scabrethia scabra","Scabrethia",230225,"S",1064,23,1087,0.00125,"Asteraceae","Asterales","species"
"40","Crataegus erythropoda","Crataegus",2894908,"S",955,107,1062,0.00123,NA,NA,"species"
"40","Parnassia fimbriata","Parnassia",38862,"S",1991,1,1992,0.0023,NA,NA,"species"
"40","Holodiscus dumosus","Holodiscus",1961195,"S",966,38,1004,0.00116,NA,NA,"species"
"40","Ribes sp.","Ribes",175228,"G",978,23,1001,0.00115,NA,NA,"genus"
"40","Dasiphora fruticosa","Dasiphora",32239,"S",766,177,943,0.00109,"Rosaceae","Rosales","species"
"40","Lithophragma glabrum","Lithophragma",100316,"S",917,2,919,0.00106,NA,NA,"species"
"40","Salix sp.","Salix",43335,"G",882,0,882,0.00102,NA,NA,"species"
"40","Rhodiola integrifolia","Rhodiola",203015,"S",813,6,819,0.00094,"Crassulaceae","Saxifragales","species"
"40","Rhodiola sp.","Rhodiola",203015,"G",813,6,819,0.00094,NA,NA,"genus"
"40","Anemone sp.",NA,714493,"G",673,145,818,0.00094,NA,NA,NA
"40","Shepherdia canadensis","Shepherdia",72158,"S",732,3,735,0.00085,NA,NA,"species"
"40","Minuartia macrantha","Minuartia",685559,"S",651,79,730,0.00084,NA,NA,"species"
"40","Microseris nutans","Microseris",51940,"S",692,3,695,8e-04,NA,NA,"species"
"40","Cynoglossum officinale","Cynoglossum",256486,"S",598,63,661,0.00076,NA,NA,"species"
"40","Paxistima myrsinites","Paxistima",123440,"S",631,0,631,0.00073,NA,NA,"species"
"40","Cirsium sp.","Cirsium",92907,"G",621,9,630,0.00073,NA,NA,"genus"
"40","Androsace septentrionalis","Androsace",229527,"S",596,2,598,0.00069,NA,NA,"species"
"40","Epilobium sp.","Epilobium",33131,"G",543,4,547,0.00063,NA,NA,"genus"
"41","Mertensia fusiformis","Mertensia",1463753,"S",152819,46780,199599,0.27771,"Boraginaceae","Boraginales","species"
"41","Mertensia ciliata","Mertensia",1288209,"S",131075,66524,197599,0.27493,"Boraginaceae","Boraginales","species"
"41","Lupinus argenteus","Lupinus",53216,"S",43530,11644,55174,0.07677,"Fabaceae","Fabales","species"
"41","Arenaria lanuginosa","Arenaria",2887378,"S",29776,3465,33241,0.04625,NA,NA,"species"
"41","Erigeron sp.","Erigeron",91271,"G",19439,3670,23109,0.03215,NA,NA,"genus"
"41","Sorbus scopulina","Sorbus",1572685,"S",12325,10630,22955,0.03194,NA,NA,NA
"41","Cynoglossum officinale","Cynoglossum",1037329,"S",49056,8542,57598,0.08013,NA,NA,"species"
"41","Hydrophyllum sp.","Hydrophyllum",85212,"G",11798,42,11840,0.01647,NA,NA,"genus"
"41","Trollius sp.","Trollius",212754,"G",6368,2544,8912,0.0124,NA,NA,"genus"
"41","Hydrophyllum fendleri","Hydrophyllum",86854,"S",5905,639,6544,0.0091,"Hydrophyllaceae","Boraginales","species"
"41","Potentilla sp.","Potentilla",667297,"G",5703,550,6253,0.0087,NA,NA,"genus"
"41","Corydalis caseana","Corydalis",2894902,"S",4993,11,5004,0.00696,NA,NA,"species"
"41","Taraxacum officinale","Taraxacum",50225,"S",4311,408,4719,0.00657,"Asteraceae","Asterales","species"
"41","Crataegus erythropoda","Crataegus",2894908,"S",3900,559,4459,0.0062,NA,NA,"species"
"41","Parnassia fimbriata","Parnassia",38862,"S",4803,51,4854,0.00675,NA,NA,"species"
"41","Potentilla anserina","Potentilla",57926,"S",3246,160,3406,0.00474,"Rosaceae","Rosales","species"
"41","Senecio integerrimus","Senecio",462536,"S",1673,2795,4468,0.00621,"Asteraceae","Asterales","species"
"41","Senecio sp.","Senecio",462536,"G",1673,2795,4468,0.00621,NA,NA,"genus"
"41","Lupinus sericeus","Lupinus",61075,"S",2724,488,3212,0.00447,"Fabaceae","Fabales","species"
"41","Collomia linearis","Collomia",66234,"S",2862,237,3099,0.00431,NA,NA,"species"
"41","Minuartia macrantha","Minuartia",685559,"S",2817,51,2868,0.00399,NA,NA,"species"
"41","Thalictrum sp.","Thalictrum",46969,"G",2629,73,2702,0.00376,NA,NA,"genus"
"41","Epilobium sp.","Epilobium",33131,"G",2211,70,2281,0.00317,NA,NA,"genus"
"41","Crepis intermedia","Crepis",268348,"S",1910,5,1915,0.00266,NA,NA,"species"
"41","Salix sp.","Salix",43335,"G",1877,1,1878,0.00261,NA,NA,"species"
"41","Anemone sp.",NA,714493,"G",1714,116,1830,0.00255,NA,NA,NA
"41","Cerastium arvense","Cerastium",271558,"S",3326,520,3846,0.00536,"Caryophyllaceae","Caryophyllales","species"
"41","Aquilegia sp.","Aquilegia",46965,"G",1347,362,1709,0.00238,NA,NA,"genus"
"41","Hypericum scouleri","Hypericum",65561,"S",1692,5,1697,0.00236,NA,NA,"species"
"41","Agastache pallidiflora","Agastache",313656,"S",1671,3,1674,0.00233,"Lamiaceae","Lamiales","species"
"41","Hydrophyllum capitatum","Hydrophyllum",79360,"S",1611,50,1661,0.00231,"Hydrophyllaceae","Boraginales","species"
"41","Ribes sp.","Ribes",175228,"G",1422,29,1451,0.00202,NA,NA,"genus"
"41","Geum sp.","Geum",1640877,"G",1436,14,1450,0.00202,NA,NA,"genus"
"41","Microseris nutans","Microseris",51940,"S",1439,7,1446,0.00201,NA,NA,"species"
"41","Rubus sp.","Rubus",714495,"G",1227,103,1330,0.00185,NA,NA,"genus"
"41","Pseudognaphalium macounii","Pseudognaphalium",1754165,"S",2602,118,2720,0.00378,NA,NA,"species"
"41","Stellaria sp.","Stellaria",1137914,"G",2223,60,2283,0.00318,NA,NA,"genus"
"41","Viola sp.","Viola",97441,"G",1205,34,1239,0.00172,NA,NA,"genus"
"41","Caltha leptosepala","Caltha",3449,"S",1222,2,1224,0.0017,NA,NA,"species"
"41","Actaea rubra","Actaea",64034,"S",1002,144,1146,0.00159,NA,NA,"species"
"41","Holodiscus dumosus","Holodiscus",1961195,"S",1005,24,1029,0.00143,NA,NA,"species"
"41","Delphinium nuttallianum","Delphinium",984877,"S",958,1,959,0.00133,"Ranunculaceae","Ranunculales","species"
"41","Delphinium sp.","Delphinium",984877,"G",958,1,959,0.00133,NA,NA,"genus"
"41","Anaphalis margaritacea","Anaphalis",49045,"S",888,50,938,0.00131,"Asteraceae","Asterales","species"
"41","Pseudostellaria jamesiana","Pseudostellaria",2604647,"S",659,159,818,0.00114,NA,NA,NA
"41","Rhodiola integrifolia","Rhodiola",203015,"S",657,148,805,0.00112,"Crassulaceae","Saxifragales","species"
"41","Rhodiola sp.","Rhodiola",203015,"G",657,148,805,0.00112,NA,NA,"genus"
"41","Nemophila breviflora","Nemophila",79376,"S",731,31,762,0.00106,NA,NA,"species"
"41","Asteroideae",NA,261773,"Subfamily",711,37,748,0.00104,NA,NA,NA
"41","Sagina saginoides","Sagina",230724,"S",712,11,723,0.00101,NA,NA,"species"
"41","Phlox sp.","Phlox",1570903,"G",601,109,710,0.00099,NA,NA,"genus"
"41","Paxistima myrsinites","Paxistima",123440,"S",596,0,596,0.00083,NA,NA,"species"
"41","Tonestus pygmaeus","Tonestus",217608,"S",572,8,580,0.00081,NA,NA,"species"
"41","Scabrethia scabra","Scabrethia",230225,"S",511,13,524,0.00073,"Asteraceae","Asterales","species"
"42","Delphinium nuttallianum","Delphinium",136316,"S",52172,3035,55207,0.69218,"Ranunculaceae","Ranunculales","species"
"42","Lupinus argenteus","Lupinus",53216,"S",2033,3422,5455,0.06839,"Fabaceae","Fabales","species"
"42","Delphinium sp.","Delphinium",984877,"G",4858,0,4858,0.06091,NA,NA,"genus"
"42","Arenaria lanuginosa","Arenaria",2887378,"S",2441,1908,4349,0.05453,NA,NA,"species"
"42","Mertensia ciliata","Mertensia",1288209,"S",935,3279,4214,0.05283,"Boraginaceae","Boraginales","species"
"42","Mertensia fusiformis","Mertensia",1463753,"S",1615,2527,4142,0.05193,"Boraginaceae","Boraginales","species"
"42","Lupinus sericeus","Lupinus",61075,"S",794,649,1443,0.01809,"Fabaceae","Fabales","species"
"42","Agastache pallidiflora","Agastache",313656,"S",766,110,876,0.01098,"Lamiaceae","Lamiales","species"
"42","Trollius sp.","Trollius",212754,"G",631,158,789,0.00989,NA,NA,"genus"
"42","Rhodiola sp.","Rhodiola",203015,"G",731,4,735,0.00922,NA,NA,"genus"
"42","Hypericum scouleri","Hypericum",65561,"S",717,9,726,0.0091,NA,NA,"species"
"42","Stellaria sp.","Stellaria",1137914,"G",626,43,669,0.00839,NA,NA,"genus"
"42","Taraxacum officinale","Taraxacum",50225,"S",504,123,627,0.00786,"Asteraceae","Asterales","species"
"42","Epilobium sp.","Epilobium",33131,"G",515,2,517,0.00648,NA,NA,"genus"
"43","Mertensia ciliata","Mertensia",1288209,"S",71808,5927,77735,0.44996,"Boraginaceae","Boraginales","species"
"43","Mertensia fusiformis","Mertensia",1463753,"S",35777,2117,37894,0.21935,"Boraginaceae","Boraginales","species"
"43","Hydrophyllum fendleri","Hydrophyllum",86854,"S",18774,455,19229,0.11131,"Hydrophyllaceae","Boraginales","species"
"43","Lupinus argenteus","Lupinus",53216,"S",12195,601,12796,0.07407,"Fabaceae","Fabales","species"
"43","Erigeron sp.","Erigeron",91271,"G",4791,332,5123,0.02965,NA,NA,"genus"
"43","Hydrophyllum sp.","Hydrophyllum",85212,"G",4580,4,4584,0.02653,NA,NA,"genus"
"43","Lupinus sericeus","Lupinus",61075,"S",2227,95,2322,0.01344,"Fabaceae","Fabales","species"
"43","Taraxacum officinale","Taraxacum",50225,"S",1477,27,1504,0.00871,"Asteraceae","Asterales","species"
"43","Cynoglossum officinale","Cynoglossum",256486,"S",3190,275,3465,0.02006,NA,NA,"species"
"43","Epilobium sp.","Epilobium",33131,"G",1243,0,1243,0.0072,NA,NA,"genus"
"43","Agastache pallidiflora","Agastache",313656,"S",1161,0,1161,0.00672,"Lamiaceae","Lamiales","species"
"43","Arenaria lanuginosa","Arenaria",2887378,"S",964,174,1138,0.00659,NA,NA,"species"
"43","Delphinium nuttallianum","Delphinium",136334,"S",702,270,972,0.00563,"Ranunculaceae","Ranunculales","species"
"43","Hydrophyllum capitatum","Hydrophyllum",79360,"S",808,5,813,0.00471,"Hydrophyllaceae","Boraginales","species"
"44","Mertensia ciliata","Mertensia",1288209,"S",68564,10642,79206,0.25545,"Boraginaceae","Boraginales","species"
"44","Delphinium nuttallianum","Delphinium",136316,"S",129302,6167,135469,0.43691,"Ranunculaceae","Ranunculales","species"
"44","Mertensia fusiformis","Mertensia",1463753,"S",35678,3171,38849,0.12529,"Boraginaceae","Boraginales","species"
"44","Delphinium sp.","Delphinium",984877,"G",13496,0,13496,0.04353,NA,NA,"genus"
"44","Lupinus argenteus","Lupinus",53216,"S",12146,1275,13421,0.04328,"Fabaceae","Fabales","species"
"44","Erigeron sp.","Erigeron",91271,"G",5037,524,5561,0.01793,NA,NA,"genus"
"44","Arenaria lanuginosa","Arenaria",2887378,"S",3380,2009,5389,0.01738,NA,NA,"species"
"44","Lupinus sericeus","Lupinus",61075,"S",2817,253,3070,0.0099,"Fabaceae","Fabales","species"
"44","Viola sp.","Viola",97441,"G",2306,8,2314,0.00746,NA,NA,"genus"
"44","Caltha leptosepala","Caltha",3449,"S",1397,855,2252,0.00726,NA,NA,"species"
"44","Trollius sp.","Trollius",212754,"G",1492,225,1717,0.00554,NA,NA,"genus"
"44","Taraxacum officinale","Taraxacum",50225,"S",1579,30,1609,0.00519,"Asteraceae","Asterales","species"
"44","Agastache pallidiflora","Agastache",313656,"S",1511,2,1513,0.00488,"Lamiaceae","Lamiales","species"
"44","Epilobium anagallidifolium","Epilobium",33131,"S",1478,2,1480,0.00477,"Onagraceae","Myrtales","species"
"44","Epilobium sp.","Epilobium",33131,"G",1478,2,1480,0.00477,NA,NA,"genus"
"44","Potentilla sp.","Potentilla",667297,"G",1184,224,1408,0.00454,NA,NA,"genus"
"44","Cynoglossum officinale","Cynoglossum",1421735,"S",3528,299,3827,0.01235,NA,NA,"species"
